CCC(C)S	CHEMBL3183438
CCC(C)C(NC(=O)C(CCCCN)NC(=O)C(CCCNC(N)=N)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCC(O)=O)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(CCCCN)NC(=O)C(CCC(O)=O)NC(=O)CNC(=O)CNC(=O)C(CCCCN)NC(=O)C(CCCNC(N)=N)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)CN)C(C)C)C(=O)NCC(=O)NC(CCC(N)=O)C(=O)NC(CCCCN)C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)NC(CCC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCC(N)=O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC(C(C)CC)C(=O)NC(CCC(O)=O)C(=O)NC(CCC(N)=O)C(O)=O	CHEMBL1276236
CCCCCCCCCCCCCCCC(=O)NCCOCCOCC(=O)NCCOCCOCC(=O)NCCCCC(NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C(CCC(O)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(O)=O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(O)=O)NC(=O)C(C)(C)NC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(C)C)C(=O)NC(CCC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)NC(CCCNC(N)=N)C(=O)NCC(O)=O	CHEMBL3616740
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(O)=O)NC(=O)C(CCCNC(N)=N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C(CCC(O)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(O)=O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(O)=O)NC(=O)C(C)(C)NC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(C)C)C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)NC(CCCCNC(=O)CCCCCCCCCCCCCCCCC(O)=O)C(O)=O	CHEMBL3616770
CCC(C)C1NC(=O)C2CSSCC3NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)C4CCCN4C(=O)C(CCCNC(N)=N)NC(=O)C(CSSCC(NC(=O)C(N)CC(O)=O)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(Cc4ccccc4)C(=O)NC(CCSC)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CSSCC(NC(=O)C(Cc2c[nH]c4ccccc24)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC3=O)C(C)O)C(=O)NC(CCCCN)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)C(N)=O)NC(=O)C(CCCCN)NC(=O)C(CC(O)=O)NC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C2CCCN2C1=O)C(C)C	CHEMBL3416909
CCC(C)C1NC(=O)C(NC(=O)C(CCCNC(N)=N)NC(=O)C2CSSCC3NC(=O)C(NC(=O)C4CSSCC(NC(=O)C(Cc5ccccc5)NC(=O)C(NC(=O)C5CCCN5C(=O)C(CC(O)=O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(NC(=O)C5CCCN5C1=O)C(C)C)C(=O)NC(C(C)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NCC(=O)N4)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C(CO)NC(=O)C(CCCNC(N)=N)NC(=O)C(CC(O)=O)NC(=O)C(CC(O)=O)NC3=O)C(C)O)C(=O)NCC(=O)NC(CCC(O)=O)C(=O)NC(C(C)O)C(=O)N2)C(C)O)C(C)C	CHEMBL498857
CCC(C)C1NC(=O)C(NC(=O)C(CC(O)=O)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C1=O)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N)C(C)O	CHEMBL3609063
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(CCCCN)NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609066
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3608999
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(C)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609226
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609232
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609049
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609078
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(CCC(O)=O)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609031
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(C)NC(=O)C(N)CCCNC(N)=N	CHEMBL3608993
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(O)=O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCCC(O)=O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C(CCC(O)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(O)=O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(O)=O)NC(=O)CNC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(C)C)C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)NC(CCCNC(N)=N)C(=O)NCC(O)=O	CHEMBL3616774
CCCCC(NC(=O)C(CCC(O)=O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(O)=O)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(N)CO)C(C)O)C(C)C)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C)C(=O)NC(CCC(O)=O)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(C)C(=O)NCC(C)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCCC)C(=O)NC(CCC(O)=O)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(N)=O	CHEMBL2370289
CCC(C)C(NC(=O)CNC(=O)C(CO)NC(=O)C(CCCNC(N)=N)NC(=O)C(NC(=O)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(C)C)NC(=O)C(CC(O)=O)NC(=O)C(NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)C(N)CCC(N)=O)C(C)C)C(C)O)C(=O)NC(CCC(N)=O)C(=O)N1CCCC1C(=O)NC(CCC(O)=O)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NC(CC(O)=O)C(=O)NC(C(C)C)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCNC(N)=N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCNC(N)=N)C(=O)NC(CO)C(=O)NC(CCCNC(N)=N)C(=O)NC(Cc1ccc(O)cc1)C(N)=O	CHEMBL2031685
CC(C)CC(NC(=O)CNC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(NC(=O)C1CSSCC(NC(=O)C(C)N)C(=O)NC(CC(O)=O)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(C(C)O)C(=O)N1)C(C)C)C(C)O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCCNC(N)=N)C(=O)NC(CO)C(=O)NCC(=O)NCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC(C(C)O)C(=O)NC(CC(N)=O)C(=O)NC(C(C)C)C(=O)NCC(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(N)=O	CHEMBL525962
CSCCC(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CS)NC(=O)C1CCCN1C(=O)C(C)NC(=O)CNC(=O)C(CCC(O)=O)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(O)=O)NC(=O)C(C)NC(=O)C(CCC(O)=O)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(O)=O)NC(=O)C(C)N)C(C)C)C(=O)NC(C(C)O)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(O)=O	CHEMBL1076969
CCC(C)C1NC(=O)C2CSSCC3NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)C4CCCN4C(=O)C(CCCNC(N)=N)NC(=O)C(CSSCC(NC(=O)C(N)CC(O)=O)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(Cc4ccccc4)C(=O)NC(CCSC)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CSSCC(NC(=O)C(Cc2c[nH]c4ccccc24)NC(=O)C(CCCCN)NC(=O)C(Cc2cnc[nH]2)NC(=O)C(NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC3=O)C(C)O)C(=O)NC(CCCCN)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)C(N)=O)NC(=O)C(CCCCN)NC(=O)C(CC(O)=O)NC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C2CCCN2C1=O)C(C)C	CHEMBL3416895
CCC(C)C1NC(=O)C2CSSCC3NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)C4CCCN4C(=O)C(C)NC(=O)C(CSSCC(NC(=O)C(N)CC(O)=O)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(Cc4ccccc4)C(=O)NC(CCSC)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CSSCC(NC(=O)C(Cc2c[nH]c4ccccc24)NC(=O)C(CCCCN)NC(=O)C(Cc2cnc[nH]2)NC(=O)C(NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC3=O)C(C)O)C(=O)NC(CCCCN)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)C(N)=O)NC(=O)C(CCCCN)NC(=O)C(CC(O)=O)NC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C2CCCN2C1=O)C(C)C	CHEMBL3416901
CCC(C)C1NC(=O)C2CSSCC3NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)C4CCCN4C(=O)C(CCCNC(N)=N)NC(=O)C(CSSCC(NC(=O)C(N)CC(O)=O)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(Cc4ccccc4)C(=O)NC(CCSC)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CSSCC(NC(=O)C(Cc2c[nH]c4ccccc24)NC(=O)C(CCCCN)NC(=O)C(Cc2cnc[nH]2)NC(=O)C(NC(=O)C(C)NC(=O)C(CO)NC3=O)C(C)O)C(=O)NC(CCCCN)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)C(N)=O)NC(=O)C(CCCCN)NC(=O)C(CC(O)=O)NC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C2CCCN2C1=O)C(C)C	CHEMBL3416907
CC(C)CC(NC(=O)CNC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(NC(=O)C(CS)NC(=O)C(NC(=O)C(C)NC(=O)C(NC(=O)C(CC(O)=O)NC(=O)C(CS)NC(=O)C(C)N)C(C)O)C(C)O)C(C)C)C(C)O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCCNC(N)=N)C(=O)NC(CO)C(=O)NCC(=O)NCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC(C(C)O)C(=O)NC(CC(N)=O)C(=O)NC(C(C)C)C(=O)NCC(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(N)=O	CHEMBL412994
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCCN)NC(=O)C(CC(O)=O)NC1=O)C(C)CC)C(C)O)C(C)C)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609065
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609070
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609082
CCC(C)C1NC(=O)C(CSSCC(NC(=O)C(CCCCN)NC(=O)CNC(=O)C2CSSCC3NC(=O)C(CCC(N)=O)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(CSSCC(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=N)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N2)NC(=O)C(CCCNC(N)=N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C2CCCN2C(=O)C(NC(=O)C(NC(=O)C(CC(O)=O)NC1=O)C(C)O)C(C)CC)C(C)O)C(O)=O)NC(=O)C(CO)NC(=O)C(N)CCCNC(N)=N	CHEMBL3609084
